Id;Name;Kurzbeschreibung;Vorbedingung;Modul;Type;Priorität;Status;Version;Regressionstest;Stichwort;Anforderung;Test Owner;Testdauer;Testumgebung;Testschritt-Nr.;Testschritt-Beschreibung;Erwartetes Ergebnis
TF-201;TF_Katalog_Suche nach ISBN_Web_Regression;Suche im Katalog über die vollständige ISBN.;Der Katalog enthält mindestens 500 Medien.;Katalog;Manual;Medium;Freigegeben;1.2;x;Katalog;BIB-1101;M. Mustermann;20 Min;Testumgebung T1;1;Am Bibliothekssystem als Mitarbeiter anmelden;Die Startseite wird mit dem Benutzernamen in der Kopfzeile angezeigt
TF-201;;;;;;;;;;;;;;;2;Den Katalog öffnen;Die Suchmaske wird mit leerem Eingabefeld angezeigt
TF-201;;;;;;;;;;;;;;;3;Die ISBN 978-3-16-148410-0 eingeben und bestätigen;Genau ein Treffer wird mit Titel, Autor und Standort angezeigt
TF-201;;;;;;;;;;;;;;;4;Abmelden;Die Anmeldeseite wird angezeigt
TF-202;TF_Katalog_Suche mit Platzhalter_Web_Regression;Titelsuche mit Platzhalter über mehrere Medien.;Der Katalog enthält mindestens 500 Medien.;Katalog;Manual;Medium;Freigegeben;1.1;x;Katalog;BIB-1101;M. Mustermann;15 Min;Testumgebung T1;1;Am Bibliothekssystem als Mitarbeiter anmelden;Die Startseite wird mit dem Benutzernamen in der Kopfzeile angezeigt
TF-202;;;;;;;;;;;;;;;2;Im Titelfeld Nordwind* eingeben und bestätigen;Alle Titel, die mit Nordwind beginnen, werden alphabetisch aufgelistet
TF-202;;;;;;;;;;;;;;;3;Abmelden;Die Anmeldeseite wird angezeigt
TF-203;TF_Katalog_Medium als vermisst kennzeichnen_Web_Regression;Ein Medium wird als vermisst markiert und aus der Ausleihe genommen.;Das Medium mit der Signatur K-4711 ist verfügbar.;Katalog;Manual;Low;Freigegeben;1.0;;Katalog;BIB-1101;E. Beispiel;15 Min;Testumgebung T1;1;Am Bibliothekssystem als Mitarbeiter anmelden;Die Startseite wird mit dem Benutzernamen in der Kopfzeile angezeigt
TF-203;;;;;;;;;;;;;;;2;Das Medium K-4711 öffnen und als vermisst kennzeichnen;Der Status wechselt auf Vermisst
TF-203;;;;;;;;;;;;;;;3;Eine Ausleihe des Mediums versuchen;Die Ausleihe wird abgewiesen und die Meldung Medium ist vermisst wird angezeigt
TF-203;;;;;;;;;;;;;;;4;Abmelden;Die Anmeldeseite wird angezeigt
TF-204;TF_Ausleihe_Medium ausleihen_Web_Regression;Ausleihe eines verfügbaren Mediums an ein aktives Mitglied.;Das Mitglied 100234 ist aktiv und hat keine offenen Gebühren.;Ausleihe;Manual;High;Freigegeben;2.0;x;Ausleihe;BIB-1204;E. Beispiel;20 Min;Testumgebung T1;1;Am Bibliothekssystem als Mitarbeiter anmelden;Die Startseite wird mit dem Benutzernamen in der Kopfzeile angezeigt
TF-204;;;;;;;;;;;;;;;2;Den Mitgliedsausweis 100234 einlesen;Das Mitgliedskonto wird mit Name und Ausleihstand angezeigt
